kanji,meanings,readings,stroke_number,unicode
去,divorce; elapse; eliminate; gone; leave; past; quit,キョ; コ; -さ.る; さ.る; い,5,53BB
協,co-; cooperation,キョウ,8,5354
極,10**48; conclusion; electric poles; end; extremely; highest rank; highly; most; poles; settlement; very,キョク; ゴク; -ぎ.め; き.まる; き.める; きわ.まり; きわ.まる; きわ.み; きわ.める,12,6975
区,district; ward,オウ; ク; コウ,4,533A
兄,big brother; elder brother,キョウ; ケイ; あに; え; せ; よし,5,5144
欠,fail; gap; lack; yawning radical (no. 76),ケツ; ケン; か.く; か.ける,4,6B20
建,build,ケン; コン; -だ.て; た.つ; た.て; た.てる; たけ; たつ; たて,9,5EFA
験,effect; testing; verification,ケン; ゲン; あかし; しるし; ため.す; ためし,18,9A13
固,clot; curdle; harden; set,コ; かた.い; かた.まり; かた.まる; かた.める,8,56FA
誤,do wrong; err; mislead; mistake,ゴ; -あやま.る; あやま.る,14,8AA4
向,approach; beyond; confront; defy; facing; tend toward; yonder,コウ; -む.き; -む.け; む.い; む.かい; む.かう; む.く; む.ける; む.こう; む.こう-; むか.い; むこ; こお; た; な; むか; むかい; むこう,6,5411
皇,emperor,オウ; コウ; おうじ; おお; み,9,7687
告,announce; inform; revelation; tell,コク; つ.げる; い,7,544A
再,again; second time; twice,サ; サイ; ふたた.び; ふた,6,518D
際,adventurous; dangerous; edge; indecent; occasion; side; time; verge; when,サイ; -ぎわ; きわ; わ,14,969B
察,guess; judge; presume; surmise; understand,サツ,14,5BDF
賛,agree with; approve; assist; praise; title or inscription on picture,サン; たす.ける; たた.える,15,8CDB
姉,elder sister,シ; あね; はは,8,59C9
氏,clan; family name; surname,シ; -うじ; うじ,4,6C0F
歯,cog; tooth,シ; は; よわ.い; よわい; よわい.する,12,6B6F
示,display; express; indicate; point out; show,シ; ジ; しめ.す,5,793A
実,fruit; nut; reality; seed; truth,シツ; ジツ; まこと; み; みち.る; みの; みの.る; ぐみ; さね,8,5B9F
主,chief; lord; main thing; master; principal,シュ; シュウ; ス; あるじ; おも; ぬし; かず; ず; もん,5,4E3B
収,income; obtain; pay; reap; store; supply,シュウ; おさ.まる; おさ.める; のぶ,4,53CE
衆,great numbers; masses; multitude; populace,シュ; シュウ; おお.い,12,8846
術,art; magic; means; resources; skill; technique; trick,ジュツ; すべ,11,8853
書,write,ショ; -が.き; -がき; か.く; かき,10,66F8
少,few; little,ショウ; すく.ない; すこ.し,4,5C11
証,certificate; evidence; proof,ショウ; あかし,12,8A3C
植,plant,ショク; う.える; う.わる; うえ; え; げ,12,690D
申,3-5PM; have the honor to; ninth sign of Chinese zodiac; sign of the monkey,シン; さる; もう.し-; もう.す,5,7533
推,conjecture; guess; infer; push (for); support; suppose,スイ; お.す,11,63A8
整,arranging; key (music); meter; organize; tone; tune,セイ; ととの.う; ととの.える; ひとし,16,6574
西,Spain; west,サイ; ス; セイ; にし; いり; ひし; むら,6,897F
赤,red,シャク; セキ; あか; あか-; あか.い; あか.らむ; あか.らめる; あ; あこ; あま,7,8D64
先,ahead; before; future; precedence; previous,セン; さき; ま.ず; ぽん,6,5148
銭,.01 yen; coin; money,セン; ゼン; すき; ぜに,14,92AD
想,concept; idea; think; thought,ソ; ソウ; おも.う,13,60F3
蔵,have; hide; own; possess; storehouse,ソウ; ゾウ; おさ.める; かく.れる; くら; くらし; くらん; くろう; さし; ざ; ろう,15,8535
族,family; tribe,ゾク; つぎ,11,65CF
太,big around; plump; thick,タ; タイ; ふと.い; ふと.る; おお; たか; ひろ,4,592A
代,"age; change; charge; convert; counter for decades of ages, eras, etc.; fee; generation; period; rate; replace; substitute",タイ; ダイ; -が.わり; -がわ.り; か.える; か.わり; か.わる; かわ.り; かわ.る; しろ; よ; す,5,4EE3
団,association; group,ダン; トン; かたまり; まる.い,6,56E3
茶,tea,サ; チャ; ちや,9,8336
丁,"4th calendar sign; counter for guns, tools, leaves or cakes of something; even number; street; town; ward",チ; チョウ; チン; テイ; トウ; ひのと,2,4E01
賃,charge; fare; fee; hire; rent; wages,チン; すけ,13,8CC3
程,amount; degree; distance; extent; formula; law; limits,テイ; -ほど; ほど; ほと,12,7A0B
点,decimal point; mark; point; speck; spot,テン; さ.す; た.てる; つ.く; つ.ける; とぼ.す; とも.す; ぼち,9,70B9
党,clique; faction; party,トウ; なかま; むら,10,515A
答,answer; solution,トウ; こた.え; こた.える; どう,12,7B54
道,course; district; journey; moral; road-way; street; teachings,トウ; ドウ; いう; みち; おさむ; さ; じ; ど; みつ,12,9053
南,south,ナ; ナン; みなみ; なみ; は; みな; みまみ,9,5357
年,counter for years; year,ネン; とし; ね,6,5E74
拝,adore; pray to; worship,ハイ; おが.む; おろが.む,8,62DD
八,eight; eight radical (no. 12),ハチ; ハツ; や; や.つ; やっ.つ; よう; な; は; はっ; やち; やつ,2,516B
否,decline; deny; negate; no; noes; refuse,ヒ; いな; いや,7,5426
鼻,nose; snout,ビ; はな,14,9F3B
病,ill; sick,ビョウ; ヘイ; -や.み; や.む; やまい,10,75C5
府,borough; govt office; representative body; storehouse; urban prefecture,フ; い; う; お; はん,8,5E9C
複,compound; double; duplicate; multiple,フク,14,8907
陛,highness; steps (of throne),ヘイ,10,965B
保,guarantee; keep; preserve; protect; support; sustain,ホ; ホウ; たも.つ; う; お; ぶ; もり; やす; やすし,9,4FDD
豊,bountiful; excellent; rich,ブ; ホウ; とよ; ゆた.か; て; で; と; ひろし; ふう; ぶん; ほ; ゆたか,13,8C4A
末,close; end; posterity; powder; tip,バツ; マツ; うら; うれ; すえ,5,672B
命,appoint; command; decree; destiny; fate; life,ミョウ; メイ; いのち,8,547D
問,ask; problem; question,モン; と.い; と.う; とん; はる,11,554F
