kanji,unicode,stroke_number,jlpt,on_readings,kun_readings,name_readings
四,56DB,5,N5,シ,よ; よ.つ; よっ.つ; よん,あ; つ; よつ
支,652F,4,N3,シ,か.う; ささ.える; つか.える,
詩,8A69,13,N1,シ,うた,
時,6642,10,N5,ジ,-どき; とき,と; とぎ
失,5931,5,N3,シツ,う.せる; うしな.う,
借,501F,10,N4,シャク,か.りる,
受,53D7,8,N3,ジュ,-う.け; う.かる; う.ける,じょ
秋,79CB,9,N4,シュウ,あき; とき,あい
宿,5BBF,11,N3,シュク,やど; やど.す; やど.る,すく; ぶすき; やけ
初,521D,7,N3,ショ,-そ.める; -ぞ.め; うい-; はじ.め; はじ.めて; はつ; はつ-,し; はっ
商,5546,11,N3,ショウ,あきな.う,あき
省,7701,9,N2,ショウ; セイ,かえり.みる; はぶ.く,さとし; み
情,60C5,11,N3,ジョウ; セイ,なさ.け,
新,65B0,13,N4,シン,あたら.しい; あら-; あら.た; にい-,あせ; あたらし; し; に; にっ; につ; よし
人,4EBA,2,N5,ジン; ニン,-と; -り; ひと,じ; と; ね; ひこ; ふみ
性,6027,8,N3,ショウ; セイ,さが,
聖,8056,13,N1,ショウ; セイ,ひじり,きよ; さと; さとし; せ; たか; ただ; ひろ; まさ; み
積,7A4D,16,N3,セキ,-づ.み; つ.む; つ.もり; つ.もる,か; さか; しゃこ; ずみ; つみ
雪,96EA,11,N3,セツ,ゆき,せっ; ぶき
線,7DDA,15,N2,セン,すじ,
組,7D44,11,N3,ソ,-ぐみ; く.む; くみ,
送,9001,9,N4,ソウ,おく.る,
速,901F,10,N3,ソク,すみ.やか; はや-; はや.い; はや.める,わ
村,6751,7,N2,ソン,むら,え; むた; ら
貸,8CB8,12,N4,タイ,か.し-; か.す; かし-,
単,5358,9,N3,タン,ひとえ,
置,7F6E,13,N3,チ,-お.き; お.く,おき; おけ; き
虫,866B,6,N2,キ; チュウ,むし,む
長,9577,8,N5,チョウ,おさ; なが.い,お; おしゃ; たかし; たけ; な; は; ひさ
庭,5EAD,10,N3,テイ,にわ,ば
展,5C55,10,N1,テン,,のぶ; のり; ひろ; ゆき
努,52AA,7,N3,ド,つと.める,
燈,71C8,16,,トウ,あかり; とも.す; ともしび; ひ; ほ-,
堂,5802,11,N4,ドウ,,
読,8AAD,14,N5,トウ; トク; ドク,-よ.み; よ.む,よみ
任,4EFB,6,N3,ニン,まか.す; まか.せる,さ; とう; ひで
派,6D3E,9,N1,ハ,,
白,767D,5,N5,ハク; ビャク,しら-; しろ; しろ.い,あき; か; はっ
犯,72AF,5,N3,ハン; ボン,おか.す,
飛,98DB,9,N3,ヒ,-と.ばす; と.ばす; と.ぶ,あす; とび
票,7968,11,N1,ヒョウ,,
婦,5A66,11,N3,フ,よめ,ね
幅,5E45,12,N2,フク,はば,
聞,805E,14,N5,ブン; モン,き.く; き.こえる,
便,4FBF,9,N3,ビン; ベン,たよ.り,
放,653E,8,N3,ホウ,-っぱな.し; こ.く; はな.す; はな.つ; はな.れる; ほう.る,はなれ
本,672C,5,N5,ホン,もと,ごう; まと
務,52D9,11,N3,ム,つと.める,つかさ; み
毛,6BDB,4,N2,モウ,け,めん; も
訳,8A33,11,N1,ヤク,わけ,
余,4F59,7,N3,ヨ,あま.す; あま.り; あま.る; あんま.り,あまる
養,990A,15,N1,ヨウ; リョウ,やしな.う,や
率,7387,11,N1,シュツ; ソツ; リツ,ひき.いる,
領,9818,14,N2,リョウ,えり,よう; よし
礼,793C,5,N3,ライ; レイ,,あや; なり; のり; ひろし; れ
論,8AD6,15,N3,ロン,あげつら.う,
囲,56F2,7,N2,イ,かこ.い; かこ.う; かこ.む,
一,4E00,1,N5,イチ; イツ,ひと-; ひと.つ,い; いっ; いる; かず; かつ; かづ; てん; はじめ; ひ; ひとつ; まこと
運,904B,12,N4,ウン,はこ.ぶ,
駅,99C5,14,N4,エキ,,
横,6A2A,15,N3,オウ,よこ,
仮,4EEE,6,N1,カ; ケ,かり; かり-,
河,6CB3,8,N2,カ,かわ,かっ; こ; こう
賀,8CC0,12,N1,ガ,,か; のり; よし; より
角,89D2,7,N2,カク,かど; つの,い; す; すみ; ずみ; ふさ
完,5B8C,7,N3,カン,,
関,95A2,14,N3,カン,-ぜき; かか.わる; からくり; かんぬき; せき,
寄,5BC4,11,N3,キ,-よ.り; よ.せる; よ.る,よせ; より; よろ
規,898F,11,N3,キ,,すのり; ただし; のり; み
久,4E45,3,N2,キュウ; ク,ひさ.しい,きゅ; なが; ひさ; ひさし; わ
旧,65E7,5,N2,キュウ,ふる.い; もと,
競,7AF6,20,N2,キョウ; ケイ,きそ.う; くら.べる; せ.る,かい; わたなべ
局,5C40,7,N3,キョク,つぼね,
九,4E5D,2,N5,キュウ; ク,ここの; ここの.つ,いちじく; いちのく; この; ひさし
郡,90E1,10,N1,グン,こおり,
