kanji,unicode,stroke_number,jlpt,on_readings,kun_readings,name_readings
幸,5E78,8,N3,コウ,さいわ.い; さち; しあわ.せ,こ; さき; さし; さっ; とも; ひろ; みゆき; ゆ; ゆき; よし
行,884C,6,N5,アン; ギョウ; コウ,-い.き; -いき; -ゆ.き; -ゆき; い.く; おこ.なう; おこな.う; ゆ.く,いく; なみ; なめ; みち; ゆき; ゆく
今,4ECA,4,N5,キン; コン,いま,な
採,63A1,11,N2,サイ,と.る,
財,8CA1,10,N3,サイ; ザイ; ゾク,たから,
参,53C2,8,N3,サン; シン,まい-; まい.る; まじわる; みつ,み
使,4F7F,8,N4,シ,-つか.い; -づか.い; つか.い; つか.う,
志,5FD7,7,N1,シ,こころざ.す; こころざし; シリング,じん; べ; べし; ゆき
至,81F3,6,N1,シ,いた.る,のぶ; のり; みち; よし
字,5B57,6,N4,ジ,-な; あざ; あざな,
式,5F0F,6,N3,シキ,,のり
者,8005,8,N4,シャ,もの,
種,7A2E,14,N3,シュ,-ぐさ; たね,おい; くさ; た; ほ
州,5DDE,6,N2,シュウ; ス,す,くに
十,5341,2,N5,ジッ; ジュウ; ジュッ,そ; と; とお,い; か; ぎ; さ; し; そ; そう; ち; とう; ね; ま; る; わ
純,7D14,10,N2,ジュン,,あつ; すみ; み; やすし; よし
序,5E8F,7,N1,ジョ,つい.で; ついで,つぐ
消,6D88,10,N3,ショウ,き.える; け.す,
乗,4E57,9,N3,ショウ; ジョウ,-の.り; の.せる; の.る,のり
食,98DF,9,N5,ショク; ジキ,く.う; く.らう; た.べる; は.む,ぐい
親,89AA,16,N4,シン,おや; おや-; した.しい; した.しむ,ぎ; ちか; のり
是,662F,9,N1,シ; ゼ,ここ; この; これ,すなお; ただし; つな; ゆき; よし
清,6E05,11,N2,ショウ; シン; セイ,きよ.い; きよ.まる; きよ.める,あき; さや; し; すが; すみ; せ; ちん
税,7A0E,12,N2,ゼイ,,さい
設,8A2D,11,N2,セツ,もう.ける,した
川,5DDD,3,N5,セン,かわ,か; こ; さわ
全,5168,6,N3,ゼン,すべ.て; まった.く,たけ; まさ
総,7DCF,14,N2,ソウ,す.べて; すべ.て; ふさ,うさ; ずさ
息,606F,10,N3,ソク,いき,
孫,5B6B,10,N2,ソン,まご,ひ
帯,5E2F,10,N2,タイ,お.びる; おび,たて
題,984C,18,N4,ダイ,,
知,77E5,8,N4,チ,し.らせる; し.る,さと; さとる; しり; しれ; とも; のり
昼,663C,9,N4,チュウ,ひる,
町,753A,7,N4,チョウ,まち,
停,505C,11,N2,テイ,と.まる; と.める,
鉄,9244,13,N2,テツ,くろがね,けん; てっ
徒,5F92,10,N3,ト,あだ; いたずら,かち
投,6295,7,N3,トウ,-な.げ; な.げる,
働,50CD,13,N3,ドウ,はたら.く,
特,7279,10,N4,トク,,
肉,8089,6,N4,ニク,しし,
能,80FD,10,N3,ノウ,あた.う; よ.く,たか; の; のり; よし
買,8CB7,12,N4,バイ,か.う,
反,53CD,4,N3,タン; ハン; ホ; ホン,-かえ.る; かえ.す; かえ.る; そ.らす; そ.る,そり; た
肥,80A5,8,N1,ヒ,こ.える; こ.やし; こ.やす; こえ; ふと.る,い; こい; ひえ
俵,4FF5,10,N1,ヒョウ,たわら,
不,4E0D,4,N4,フ; ブ,,
部,90E8,11,N3,ブ,-べ,とり; ふ; ぺ; ま
奮,596E,16,N1,フン,ふる.う,
編,7DE8,15,N2,ヘン,-あ.み; あ.む,
母,6BCD,5,N5,ボ,はは; も,
防,9632,7,N2,ボウ,ふせ.ぐ,あた; う; ほう
未,672A,5,N3,ビ; ミ,いま.だ; ひつじ; ま.だ,
鳴,9CF4,14,N3,メイ,な.く; な.らす; な.る,なり; なる
役,5F79,7,N3,エキ; ヤク,,ちゃく
遊,904A,12,N3,ユ; ユウ,あそ.ばす; あそ.ぶ,あす; う
葉,8449,12,N3,ヨウ,は,よ; わ
里,91CC,7,,リ,さと,さ
料,6599,10,N4,リョウ,,
令,4EE4,5,N2,レイ,,のり; りょう; れ
老,8001,6,N3,ロウ,お.いる; ふ.ける,えび; おい; び
以,4EE5,5,N4,イ,もっ.て,もち
遺,907A,15,N1,イ; ユイ,のこ.す,
院,9662,10,N4,イン,,
衛,885B,16,N1,エ; エイ,,い; まもる; もり
央,592E,5,N2,オウ,,あきら; え; お; さと; ちか; てる; なか; ひさ; ひろ; や
音,97F3,9,N4,-ノン; イン; オン,おと; ね,お; と
科,79D1,9,N3,カ,,しな
我,6211,7,N1,ガ,わ; わ.が-; わが-; われ,あ; あが; か
海,6D77,9,N4,カイ,うみ,あ; あま; うな; うん; え; か; た; ひろ; ひろし; ぶ; まち; まま; み; め; わたる
格,683C,10,N3,カク; キャク; コウ; ゴウ,,いたる; のり
寒,5BD2,12,N3,カン,さむ.い,さ; さん
管,7BA1,14,N2,カン,くだ,すが
喜,559C,12,N3,キ,よろこ.ばす; よろこ.ぶ,あき; きゅ; のぶ; ゆき; よし
汽,6C7D,7,N1,キ,,
議,8B70,20,N3,ギ,,かた; のり
究,7A76,7,N4,キュウ; ク,きわ.める,きゅ
魚,9B5A,11,N4,ギョ,-ざかな; うお; さかな,い
興,8208,16,N1,キョウ; コウ,おこ.す; おこ.る,おき; おこっ; とも
近,8FD1,7,N4,キン; コン,ちか.い,おう; おお; この
訓,8A13,10,N2,キン; クン,おし.える; くん.ずる; よ.む,く; くに; くの; さとし; のり; ふみ
系,7CFB,7,N1,ケイ,,
月,6708,4,N5,ガツ; ゲツ,つき,おと; がっ; す; ずき; もり
研,7814,9,N4,ケン,と.ぐ,のり
現,73FE,11,N3,ゲン,あらわ.す; あらわ.れる; うつ.つ; うつつ,あきら; きら
湖,6E56,12,N2,コ,みずうみ,うみ; み
